iter	RMSE
0	9.054381866
1	8.799767499
2	8.558007932
3	8.316769675
4	8.092514725
5	7.87306948
6	7.682619895
7	7.481213515
8	7.290907179
9	7.100382989
10	6.921512809
11	6.738989709
12	6.565471255
13	6.429971097
14	6.297841398
15	6.142344795
16	6.020047107
17	5.876040338
18	5.777310132
19	5.654462105
20	5.520509614
21	5.407179734
22	5.302570316
23	5.197022405
24	5.097812559
25	5.004500807
26	4.898542702
27	4.796234337
28	4.724075987
29	4.661800976
30	4.595353182
31	4.540597112
32	4.4713573
33	4.393476618
34	4.325706652
35	4.271012652
36	4.215379896
37	4.160024532
38	4.111540565
39	4.056789125
40	4.001732556
41	3.938877118
42	3.887832366
43	3.844870862
44	3.789241016
45	3.732707366
46	3.695948806
47	3.658692781
48	3.626972385
49	3.584183808
50	3.53391374
51	3.499316044
52	3.467296147
53	3.433246529
54	3.40541923
55	3.368672975
56	3.331548632
57	3.304202351
58	3.268581813
59	3.239285288
60	3.208581584
61	3.183593184
62	3.146347976
63	3.120497543
64	3.104076273
65	3.081271672
66	3.056802773
67	3.028586063
68	3.011328114
69	2.982336313
70	2.95923251
71	2.930715029
72	2.910229403
73	2.886791407
74	2.86430195
75	2.84909965
76	2.834812988
77	2.821046459
78	2.804770282
79	2.796222649
80	2.780443318
81	2.771354102
82	2.749995027
83	2.731655708
84	2.717932039
85	2.701019319
86	2.683508327
87	2.669524408
88	2.655680963
89	2.636097428
90	2.623974649
91	2.611804768
92	2.590558628
93	2.574020428
94	2.562745205
95	2.555843611
96	2.544560682
97	2.536868582
98	2.527083597
99	2.514021726
100	2.502363044
101	2.486403347
102	2.473577471
103	2.463171384
104	2.451322227
105	2.44564812
106	2.444043821
107	2.435259487
108	2.428143033
109	2.41727336
110	2.406133682
111	2.398508256
112	2.390704864
113	2.384924815
114	2.373685708
115	2.367382399
116	2.362380895
117	2.360204161
118	2.355254322
119	2.347630736
120	2.339167648
121	2.333513094
122	2.324201025
123	2.320016528
124	2.313433366
125	2.304103753
126	2.29595113
127	2.289810614
128	2.281437942
129	2.276209116
130	2.263729733
131	2.25585196
132	2.246911129
133	2.239368382
134	2.227434106
135	2.222685598
136	2.219188398
137	2.21327764
138	2.209976015
139	2.205111133
140	2.200105075
141	2.191475624
142	2.179713464
143	2.168276757
144	2.163180237
145	2.153816053
146	2.146631216
147	2.138164644
148	2.132126759
149	2.129177506
150	2.123393186
151	2.116310823
152	2.1085007
153	2.104466752
154	2.09766026
155	2.09239037
156	2.088425336
157	2.084153393
158	2.077969014
159	2.069995532
160	2.065136147
161	2.06106701
162	2.053471033
163	2.05141401
164	2.044000064
165	2.041011509
166	2.031748497
167	2.023251637
168	2.018186298
169	2.011344393
170	2.009969652
171	2.002740858
172	1.994391807
173	1.987683887
174	1.982523366
175	1.977003744
176	1.972145963
177	1.965660616
178	1.963591686
179	1.957679028
180	1.952938826
181	1.944995235
182	1.938194751
183	1.93271017
184	1.929207478
185	1.922240516
186	1.916503847
187	1.911385206
188	1.907709666
189	1.89886301
190	1.890333897
191	1.884983899
192	1.876492681
193	1.870013835
194	1.862922532
195	1.85782074
196	1.852014979
197	1.84191746
198	1.834101907
199	1.822691172
200	1.817225454
201	1.809458954
202	1.801764751
203	1.795351924
204	1.787688385
205	1.779550976
206	1.776444079
