iter	Passed	Remaining
0	4	2123
1	9	2402
2	14	2334
3	16	2097
4	21	2156
5	25	2090
6	29	2049
7	31	1964
8	35	1948
9	38	1909
10	42	1879
11	45	1853
12	48	1809
13	52	1815
14	56	1836
15	59	1812
16	63	1795
17	68	1837
18	75	1900
19	77	1870
20	80	1839
21	84	1844
22	88	1826
23	90	1803
24	93	1780
25	98	1786
26	101	1773
27	105	1778
28	108	1767
29	111	1749
30	115	1745
31	119	1741
32	122	1728
33	125	1716
34	129	1722
35	133	1716
36	135	1698
37	138	1678
38	143	1694
39	147	1700
40	151	1692
41	154	1681
42	156	1668
43	160	1666
44	166	1679
45	170	1680
46	172	1666
47	176	1662
48	179	1654
49	182	1643
50	185	1629
51	187	1618
52	191	1614
53	195	1611
54	197	1598
55	200	1586
56	202	1574
57	205	1567
58	211	1581
59	215	1577
60	218	1569
61	220	1558
62	224	1556
63	228	1553
64	231	1546
65	234	1539
66	237	1537
67	241	1532
68	243	1521
69	246	1513
70	249	1508
71	253	1506
72	256	1503
73	260	1498
74	262	1489
75	265	1480
76	269	1482
77	274	1483
78	277	1479
79	280	1472
80	283	1464
81	287	1463
82	290	1458
83	293	1454
84	297	1450
85	301	1450
86	304	1447
87	308	1443
88	311	1437
89	313	1428
90	317	1425
91	320	1421
92	323	1414
93	326	1409
94	329	1405
95	333	1402
96	338	1405
97	341	1401
98	344	1395
99	347	1390
100	352	1391
101	356	1389
102	359	1383
103	362	1381
104	369	1390
105	374	1391
106	375	1378
107	379	1376
108	383	1376
109	387	1374
110	390	1370
111	394	1365
112	399	1367
113	402	1363
114	407	1362
115	411	1362
116	416	1362
117	421	1363
118	427	1367
119	433	1372
120	438	1373
121	444	1377
122	450	1382
123	456	1382
124	462	1386
125	468	1389
126	472	1386
127	479	1393
128	484	1393
129	489	1393
130	494	1393
131	499	1391
132	502	1387
133	508	1389
134	514	1391
135	517	1385
136	522	1384
137	526	1380
138	530	1376
139	533	1372
140	539	1372
141	542	1366
142	546	1365
143	550	1359
144	555	1360
145	559	1355
146	562	1350
147	566	1348
148	571	1345
149	574	1340
150	578	1336
151	581	1330
152	587	1332
153	591	1329
154	594	1323
155	601	1325
156	605	1322
157	608	1317
158	611	1311
159	616	1309
160	620	1305
161	624	1302
162	627	1297
163	632	1296
164	636	1291
165	640	1289
166	644	1286
167	649	1283
168	652	1278
169	656	1274
170	660	1270
171	664	1267
172	668	1263
173	671	1258
174	674	1252
175	679	1250
176	682	1245
177	685	1240
178	688	1234
179	694	1235
180	699	1232
181	702	1227
182	705	1221
183	709	1217
184	712	1213
185	715	1208
186	719	1203
187	722	1198
188	726	1194
189	729	1189
190	732	1184
191	735	1179
192	739	1175
193	743	1172
194	746	1167
195	749	1161
196	752	1156
197	755	1153
198	759	1148
199	762	1144
200	765	1139
201	769	1135
202	773	1131
203	776	1126
204	779	1122
205	782	1116
206	788	1115
207	791	1111
208	794	1106
209	797	1101
210	801	1097
211	804	1093
212	807	1088
213	810	1083
214	813	1078
215	817	1074
216	821	1071
217	824	1066
218	827	1061
219	831	1058
220	835	1054
221	838	1050
222	841	1045
223	845	1041
224	849	1038
225	852	1034
226	856	1029
227	858	1024
228	863	1022
229	869	1020
230	872	1016
231	877	1013
232	882	1010
233	885	1006
234	889	1002
235	895	1001
236	901	1000
237	906	997
238	913	998
239	919	995
240	923	992
241	929	991
242	934	988
243	938	984
244	944	982
245	948	979
246	951	975
247	955	970
248	960	968
249	965	965
250	968	961
251	974	958
252	978	955
253	982	951
254	985	946
255	992	945
256	996	941
257	999	937
258	1003	934
259	1008	930
260	1011	926
261	1014	921
262	1018	918
263	1023	914
264	1027	911
265	1030	906
266	1035	903
267	1039	899
268	1042	895
269	1046	891
270	1050	888
271	1055	884
272	1059	881
273	1062	876
274	1066	872
275	1070	868
276	1074	865
277	1078	861
278	1082	857
279	1087	854
280	1091	850
281	1094	846
282	1100	843
283	1103	839
284	1106	834
285	1109	830
286	1112	825
287	1116	821
288	1119	817
289	1122	813
290	1125	808
291	1129	804
292	1133	800
293	1136	796
294	1139	791
295	1142	787
296	1147	784
297	1150	780
298	1154	775
299	1156	771
300	1161	767
301	1164	763
302	1167	759
303	1171	755
304	1174	750
305	1179	747
306	1181	742
307	1185	738
308	1188	734
309	1194	731
310	1198	728
311	1201	724
312	1204	719
313	1209	716
314	1212	712
315	1215	708
316	1218	703
317	1221	699
318	1226	695
319	1231	692
320	1234	688
321	1240	685
322	1243	681
323	1246	677
324	1249	672
325	1253	668
326	1256	664
327	1259	660
328	1262	656
329	1265	651
330	1270	648
331	1274	644
332	1277	640
333	1280	636
334	1285	632
335	1288	628
336	1291	624
337	1294	620
338	1299	617
339	1304	613
340	1306	609
341	1309	605
342	1312	600
343	1316	596
344	1319	592
345	1322	588
346	1325	584
347	1328	580
348	1334	577
349	1338	573
350	1341	569
351	1346	565
352	1351	562
353	1354	558
354	1357	554
355	1362	550
356	1367	547
357	1372	544
358	1377	540
359	1382	537
360	1386	533
361	1390	530
362	1398	527
363	1404	524
364	1409	521
365	1414	517
366	1419	514
367	1422	510
368	1427	506
369	1432	503
370	1436	499
371	1441	495
372	1445	492
373	1448	488
374	1452	484
375	1455	479
376	1458	475
377	1461	471
378	1464	467
379	1467	463
380	1471	459
381	1476	455
382	1479	451
383	1483	448
384	1487	444
385	1493	441
386	1497	437
387	1500	433
388	1510	431
389	1513	426
390	1516	422
391	1520	418
392	1524	414
393	1528	411
394	1531	407
395	1536	403
396	1541	399
397	1544	395
398	1547	391
399	1551	387
400	1555	384
401	1558	379
402	1561	375
403	1563	371
404	1567	367
405	1571	363
406	1574	359
407	1577	355
408	1580	351
409	1584	347
410	1586	343
411	1589	339
412	1592	335
413	1595	331
414	1598	327
415	1602	323
416	1605	319
417	1607	315
418	1609	311
419	1612	307
420	1615	303
421	1618	299
422	1621	295
423	1623	290
424	1625	286
425	1629	282
426	1631	278
427	1634	274
428	1637	270
429	1639	266
430	1642	262
431	1646	259
432	1648	255
433	1651	251
434	1654	247
435	1657	243
436	1660	239
437	1663	235
438	1666	231
439	1668	227
440	1671	223
441	1674	219
442	1677	215
443	1680	211
444	1683	208
445	1685	204
446	1687	200
447	1691	196
448	1694	192
449	1696	188
450	1699	184
451	1701	180
452	1704	176
453	1707	172
454	1709	169
455	1712	165
456	1714	161
457	1717	157
458	1719	153
459	1722	149
460	1725	145
461	1728	142
462	1731	138
463	1733	134
464	1736	130
465	1740	126
466	1742	123
467	1745	119
468	1748	115
469	1751	111
470	1754	108
471	1757	104
472	1760	100
473	1762	96
474	1765	92
475	1767	89
476	1771	85
477	1774	81
478	1776	77
479	1779	74
480	1782	70
